Question id,The Question,Answer,Diagram link,Correct answers,Gold standard answers,Answers given,Precision,Recall,F-measure,Avg Precision,Avg Recall,Avg F-measure,,,Percentage,Total number of questions,Total number of diagrams
,,"Urdu, Elglish",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F96languages,2,2,2,1,1,1,,,,,,,,
91,What kind of music did Lou Reed play?,Rock music,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F91rockmusic,1,1,1,1,1,1,1,1,1,,,,,
,,rock music,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F91_AIR,1,1,1,1,1,1,,,,,,,,
,,rock music,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F91_GenreLouReed,1,1,1,1,1,1,,,,,,,,
,,Rock Music,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Flr,1,1,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
79,On which day is Columbus Day?,second Monday in October,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fcol,1,1,1,1,1,1,1,1,1,,,,,
,,second Monday in October,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F79_ColumbusDay,1,1,1,1,1,1,,,,,,,,
,,second Monday in October,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F79_AIR,1,1,1,1,1,1,,,,,,,,
,,second Monday in October,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F79ColumbusDay,1,1,1,1,1,1,,,,,,,,
58,Show me all Czech movies.,?,,0,130,0,0,0,0,0.05681818182,0.009615384615,0.01644736842,,,,,
,,"Underground, Casino Royale, From Subway with Love and many others",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F58_AIR,5,130,22,0.2272727273,0.03846153846,0.06578947368,,,,,,,,
,,Category:Films shot in the Czech Republic,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F58_CzechMovies,0,130,0,0,0,0,,,,,,,,
,,,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Ffilm,0,130,0,0,0,0,,,,,,,,
